Date,Open,High,Low,Close,Adj Close,Volume
1999-12-22,3407.544,3442.19,3392.154,3399.35,3399.35,502097800.0
1999-12-23,3395.555,3399.683,3346.628,3357.37,3357.37,516957400.0
1999-12-24,3351.31,3385.922,3322.567,3326.09,3326.09,415316700.0
1999-12-27,3307.646,3347.03,3290.224,3299.89,3299.89,487513800.0
1999-12-28,3303.13,3368.25,3284.794,3304.86,3304.86,489765600.0
1999-12-29,3304.832,3364.393,3285.32,3342.403,3342.403,428516700.0
1999-12-30,3355.7,3381.125,3353.316,3369.613,3369.613,344241100.0
2000-01-04,3374.11,3512.297,3360.207,3497.06,3497.06,734450800.0
2000-01-05,3500.133,3589.177,3468.688,3486.285,3486.285,937389700.0
2000-01-06,3475.46,3663.215,3454.348,3655.2,3655.2,1124048100.0
2000-01-07,3701.477,3848.06,3701.477,3828.04,3828.04,2990011200.0
2000-01-10,3881.746,3929.062,3832.195,3921.483,3921.483,2698710400.0
2000-01-11,3924.712,3931.078,3691.56,3716.784,3716.784,1757251800.0
2000-01-12,3699.292,3768.143,3585.467,3605.824,3605.824,1140833100.0
2000-01-13,3604.275,3637.68,3552.05,3580.982,3580.982,746048200.0
2000-01-14,3582.163,3609.192,3524.51,3542.82,3542.82,615049900.0
2000-01-17,3535.506,3597.77,3496.0,3594.65,3594.65,618530800.0
2000-01-18,3601.88,3633.106,3558.86,3571.973,3571.973,730889400.0
2000-01-19,3560.587,3640.088,3559.937,3603.856,3603.856,734608700.0
2000-01-20,3608.166,3670.19,3603.985,3668.842,3668.842,976650100.0
2000-01-21,3687.19,3744.273,3644.08,3702.087,3702.087,1384986600.0
2000-01-24,3709.192,3736.43,3646.17,3734.725,3734.725,1463516500.0
2000-01-25,3752.53,3803.772,3702.65,3726.057,3726.057,1246311500.0
2000-01-26,3718.128,3754.1,3700.66,3737.985,3737.985,964243500.0
2000-01-27,3782.89,3855.348,3754.1,3844.965,3844.965,1607922800.0
2000-01-28,3889.138,3952.407,3869.418,3952.407,3952.407,2452384000.0
