Date,Open,High,Low,Close,Adj Close,Volume
2011-08-03,922.8064,951.5867,918.6428,945.5094,945.5094,297084712
2011-08-04,944.8321,950.0271,935.4155,937.4753,937.4753,220054691
2011-08-05,905.1632,926.6245,899.317,919.1859,919.1859,202318849
2011-08-08,908.0754,913.3207,859.1627,877.4433,877.4433,247970689
2011-08-09,848.9979,884.8373,835.2825,878.7613,878.7613,212746076
2011-08-10,891.2231,901.8619,889.8631,891.752,891.752,202588093
2011-08-11,873.124,915.4896,870.2913,915.4896,915.4896,242996900
2011-08-12,920.2882,932.7756,920.2882,926.2971,926.2971,231307083
2011-08-15,928.9803,946.8015,928.9803,942.4856,942.4856,231467400
2011-08-16,942.9456,944.8698,929.7896,933.1398,933.1398,203888453
2011-08-17,932.0067,941.4503,926.0161,936.1597,936.1597,193842965
2011-08-18,934.5781,935.1089,915.2596,915.684,915.684,177470513
2011-08-19,895.6469,912.4213,891.7961,912.4213,912.4213,171921858
2011-08-22,913.6058,925.3945,907.8591,910.6063,910.6063,174816077
2011-08-23,912.3521,936.4167,912.3521,936.4167,936.4167,228622776
2011-08-24,940.4234,954.2311,939.2808,940.196,940.196,293338096
2011-08-25,942.6431,943.7229,927.3644,942.944,942.944,243682322
2011-08-26,940.526,954.7224,937.9697,952.8061,952.8061,227329861
2011-08-29,951.5493,959.666,947.7258,954.0293,954.0293,237398936
2011-08-30,957.2903,960.1472,933.8195,934.1853,934.1853,221948113
2011-08-31,931.788,936.1032,911.8221,921.4955,921.4955,166413549
2011-09-01,921.9667,930.1947,913.1577,917.7512,917.7512,144306019
2011-09-02,916.0727,918.5916,902.4832,909.8539,909.8539,136265102
2011-09-05,902.3678,902.3678,883.4575,883.8735,883.8735,138659223
2011-09-06,876.7051,884.6103,869.8076,874.7387,874.7387,107196813
2011-09-07,877.8664,899.6143,877.7816,899.6143,899.6143,133033552
2011-09-08,903.2501,909.8776,891.5196,891.9327,891.9327,143055014
2011-09-09,889.4651,895.8449,877.531,881.5771,881.5771,121048019
2011-09-13,870.038,870.038,858.9084,861.9162,861.9162,105326414
2011-09-14,864.08,877.0391,855.3371,876.9498,876.9498,113202791
2011-09-15,877.9276,885.7064,875.6751,875.8614,875.8614,120343214
2011-09-16,878.5644,883.1032,873.5548,874.8836,874.8836,95303532
2011-09-19,871.8778,871.8778,854.6409,854.7125,854.7125,91345498
2011-09-20,850.9704,861.179,846.0331,856.8122,856.8122,87643624
2011-09-21,856.8043,881.558,854.2877,881.0315,881.0315,135892291
2011-09-22,876.2544,879.1022,852.92,852.92,852.92,130032837
2011-09-23,840.175,848.2683,833.7707,843.4793,843.4793,118054710
2011-09-26,842.0015,848.824,826.8301,829.3476,829.3476,97995405
2011-09-27,833.6408,839.1933,822.84,830.8845,830.8845,93057352
2011-09-28,834.0315,838.3297,814.3448,817.5156,817.5156,88379894
2011-09-29,813.2619,813.2619,791.0528,791.8948,791.8948,103826257
2011-09-30,792.7633,796.4843,781.7887,791.1346,791.1346,82427141
2011-10-10,792.9711,796.864,786.8394,790.0427,790.0427,71468223
2011-10-11,806.7007,812.4519,778.0546,786.1517,786.1517,119847266
2011-10-12,783.4291,817.0176,773.9254,816.1384,816.1384,163748050
2011-10-13,816.5318,835.6265,814.6303,833.0218,833.0218,191023859
2011-10-14,830.4796,833.0268,819.9764,830.197,830.197,144569977
2011-10-17,832.86,839.2626,826.8085,832.2892,832.2892,145821900
2011-10-18,826.5285,828.1757,806.0004,806.6009,806.6009,161382217
2011-10-19,807.2145,813.9492,798.796,804.4368,804.4368,132652867
2011-10-20,801.025,801.025,771.1524,778.9549,778.9549,145773923
2011-10-21,777.0308,779.4608,760.1583,763.2959,763.2959,111305192
2011-10-24,761.4303,772.9643,741.333,772.41,772.41,162022100
2011-10-25,770.8437,799.0976,769.2858,797.8585,797.8585,213374696
2011-10-26,794.2949,820.8074,790.9961,811.1347,811.1347,286014467
2011-10-27,810.7167,821.2882,807.1245,810.9225,810.9225,241696862
2011-10-28,820.419,833.7275,813.9265,833.4232,833.4232,285690599
2011-10-31,834.2974,852.7985,831.5001,852.7985,852.7985,337067100
2011-11-01,843.8008,855.3537,840.0557,853.359,853.359,323157988
2011-11-02,837.0655,881.047,833.9039,881.047,881.047,401744150
2011-11-03,885.8669,898.3131,877.6581,877.6581,877.6581,492088850
2011-11-04,881.616,887.6661,876.4417,882.253,882.253,322527212
2011-11-07,880.1511,889.3385,876.5402,878.7583,878.7583,240189684
2011-11-08,878.4465,879.8965,861.3754,862.36,862.36,242032688
2011-11-09,866.911,891.1238,860.753,891.1238,891.1238,338809247
2011-11-10,881.6911,911.7303,878.9903,895.272,895.272,512765408
2011-11-11,893.7213,901.7983,885.5868,891.1932,891.1932,376167656
2011-11-14,899.1103,917.2718,899.1103,915.977,915.977,388531407
2011-11-15,916.6227,922.8095,912.8073,920.9743,920.9743,368232883
2011-11-16,921.2981,922.0703,888.8791,893.508,893.508,346599149
2011-11-17,893.7887,911.895,890.8194,898.3392,898.3392,286250869
2011-11-18,892.632,892.7452,868.2649,869.1909,869.1909,290800892
2011-11-21,866.9814,868.3075,849.557,863.1341,863.1341,210075948
2011-11-22,856.1987,868.4782,852.0374,868.4325,868.4325,182110354
2011-11-23,868.7765,874.3045,863.0595,864.811,864.811,186560745
2011-11-24,856.671,874.9224,852.0,868.1425,868.1425,190796655
2011-11-25,866.9867,874.475,860.629,863.4956,863.4956,195816410
2011-11-28,864.3816,871.2773,858.4576,866.8378,866.8378,199068524
2011-11-29,872.2001,880.3133,866.7413,880.3133,880.3133,222106411
2011-11-30,878.6769,878.6769,824.9503,838.1087,838.1087,271169958
